id,rating,review
8594,1,Delivers what it promises_This disposable razor does exactly what it promises: delivers a close shave with a smooth finish and no irritation. No complaints here.
2202,1,Top Coat_The best top coat I have ever used. It drys supper fast and makes your manicure look shiny and bright!
5977,1,"Effortless No Heat Curls_You need to start out with dry hair. If your hair is too damp it won't ever get dry. Spritz the ends of your hair with some water once or twice, not very much. You could add some product but it isn't necessary. Leave in conditioner, shine anti-frizz serum, gel or mousse. Whatever you normally use. Take a small pea sized amount in your hand and run it through your hair.You can create curls two different ways. You can take a 1-2 inch section of hair, twist the hair and wind it around the width of the roller, then bend the ends of the roller in to secure it. Another way to use them is to place the roller at the ends of your hair. Wrap the ends around the roller to get it started then roll it up. If you have layers make sure to check for loose bits of hair and wrap those back in. Then bend the ends of the roller to secure it.Wrapping your hair with a scarf or a satin sleep cap will help keep your rollers in place while you sleep. When you wake up in the morning to take them out you'll have perfect curls that last all day. The best part about these rollers, besides being incredibly easy to use and get curls, is that you aren't damaging your hair.I've tried other rollers that had to be secured with pins or clips. They were heavy and hurt my scalp, and unwrapping my hair resulted in a massive knot. Hot tools never really gave me the desired results I wanted. There was always some strand of hair I missed or one curl was tighter than the other. I don't have any of those problems with foam rollers. It takes all the guess work out and gives you healthy curly hair."
2065,1,"Silky_Great as a skin smoother. My skin has been so much silkier after using this product. The downside is that it is not effective at removing makeup or deep cleaning the skin. I recommend using a makeup remover, then a deep cleanser, and if you want the smoothing effect use this Cetaphil last."
868,1,"If it's good enough for Giada, it's good enough for me!_The perfect nude/neutral color.  Be prepared for plenty of complements on your clean, beautiful nails.  I have lots of nail polish (more bottles than I care to admit), and this is one of the two that I have actually finished the whole bottle of-which really tells how attractive it is, and what a great neutral it is."
1749,1,"Did you Know...?_Did you know the Earth Therapeutics foam applicators fit AND their micro-exfoliation cream works well with this device?Foam Applicators- Dual Replenishment PackGreen Tea Cellular Renewal Micro-Exfoliation CreamThey do I use them and the results are great!I have one of these, love it but refuse to buy the ridiculously priced discontinued refills. I've been finding ways to get more life out of the device since the line has been discontinued and replacements/refills are scarce.UPDATE: 9/7/2011Neutrogena recently started selling aNeutrogena Microdermabrasion Systemthat's a newer version of this item for TWENTY BUCKS or less ANDNeutrogena System Refill Puffs - 24 Countfor EIGHTEEN BUCKS or less! The best thing is the new pads fit this Rejuvenator, older Microdermabrasion Systems and the Wave systems too!!!"
287,1,Use small amounts please_Control yourselves. I know most of us have scaly and dry hands from the weather and certain occupational hazards but only a little will do you right. Palms are no longer itchy and looking like a crusty tomato.I can no longer use my hands as sandpaper but hey now I can touch my face without peeling it off. Great product! I no longer have sand paper for hands!
66,1,"very GOOD product!_i love this product, when i first read the comments from other costumers i thought &#34;OK i'll go with it and try what will be the results&#34; & oh i must say i was amazed, when i have something on my face that disturbs i put it and thats all its Gone :))). i do i either in the evening or morning  ..."
3718,1,"GOOD_Cheap, nice color, isn't sticky, goes with everything... What more can you ask?"
1343,1,"was just what i ordered_love this type or orange wood sticks. no used to the ones that have a sharp point on one end and flat on the order. use it when polished nails, pushing back cuticles or when doing nail art."
3352,1,Smells fresh and clean not overly strong._I love this items fresh and clean smelling. I love that it isn't too strong either. It works for me and I would buy it again.
5175,0,"Worst Foundation_This is the worst foundation I've ever bought.  It is supposed go on 'like a liquid and finish like a powder'.  It takes several applications to get a good enough coverage bc it does not go on smoothly.  I had better luck wetting the sponge a little but even then, the coverage is not what I like in a foundation.  It seems more like a powder then a foundation.I would not recomend this foundation to anyone."
7342,1,"Olay Age Defying Day Cream and Serum_This product is wonderful.  Keeps skin moist all day.Very light and just need to use a dab.  Good smell, but very light.Really makes a difference.  Use with the Night cream and youwill see noticeable results FAST.  Will buy again !"
8304,1,"Superb effects, and for an amazingly inexpensive price_I don't know what I did or didn't do to my hair over the recent holidays, but it looked AWFUL this morning when I woke up.I was at that 'Ah,PLEASE don't look at me OR my hair' phase.I must have had a restless night without realizing it. Or something. Maybe I went sleepwalking in the mind of Charles Dickens as he wrote the depressing part of 'A Christmas Carol' and had I bad hair because of that. I cannot explain it. It was, in a word, weird.Frankly, my unrealized restless nights are the WORST for incubating and ultimately bringing forth potential BAD HAIR days.So this morning, I basically looked like a character in Alien VS Predator when I woke up.Fortuitously, my Suave Professionals Moroccan Infusion Morroccan Styling Oil was right next to my side of the bed, waiting to be reviewed.I grabbed it before I even had my cup of coffee, and here is how it scores:1) ease of opening when half asleep and your fingers don't work but you MUST open it because you look like a nightmare: A+2) ease of applying when you can barely read the instructions: A+3) ease of relaxing and styling your pathetically snarled up hair from your restless night, just using the handy pump, putting some on your palms and rubbing it through your hair with your fingers: A+4) shine effect on dulled out hair: A+5) general feeling of well being about yourself and that you can GO on LIVING without being banished to a desert island all by yourself because you used to look horrible: A+Conclusion: I love this wonderful Suave Professionals Moroccan Infusion Morroccan Styling Oil because it works wonders! I have become a a phoenix, risen from the ashes of 'ugly hair' (one of the most reviled and shameful qualities I can have, to my mind).Plus, it smells fine and not too strong.PLUS--the big plus--it's a quality product at a very inexpensive price.How can you go wrong with this?You can't.So don't be banished to a desert island: get this terriific product!!!"
